title,img_path,label,plot
Washington Square (1997),ml1m-images\1650.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Washington Square is a 1997 American film about a group of teenagers who are trying to escape from their abusive parents' abusive relationship. They are reunited with their parents and are reunited with their children.
"Net, The (1995)",ml1m-images\185.jpg,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Net is a 1995 American film directed by James Cameron. It is a crime drama film about a man named Net who is convicted of murdering his wife and her lover. The film explores themes of love, loss, and the consequences of a broken relationship."
Batman Returns (1992),ml1m-images\1377.jpg,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Batman returns to the Batman universe after a long and grueling battle with the Joker, who has been a villain in the Batman franchise for over a decade."
"Boys from Brazil, The (1978)",ml1m-images\3204.jpg,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The movie Boys from Brazil, The (1978) is a romantic comedy about a young boy named Jack who is a successful businessman and a successful businessman. He is a successful businessman who is a successful businessman and a successful businessman. Jack is a successful businessman who is a successful businessman and a successful businessman. The movie explores themes of love, relationships, and the importance of family."
Dear Jesse (1997),ml1m-images\1901.jpg,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Dear Jesse is a 1997 American drama film about a young woman named Jesse who is diagnosed with cancer and is struggling to cope with her emotions. She is diagnosed with a rare condition called a ""several-segmented sex"" and is struggling to cope with her emotions. Jesse's family and friends are devastated by the news of her diagnosis and are forced to move to a new city to live with her family."
"Jar, The (Khomreh) (1992)",ml1m-images\758.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Jar is a movie about a young boy named Jar who is a renowned astronomer and a physicist who discovers a mysterious object in the sky. He is tasked with repairing the object and uncovering the truth about the object's origins. The movie explores themes of astronomy, physics, and the universe."
Stag (1997),ml1m-images\1636.jpg,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Stag is a 1997 American comedy-drama film about a young boy named Stag who becomes obsessed with a mysterious and mysterious stag that he believes is the real killer. He becomes obsessed with the stag's identity and becomes obsessed with the stag's motives. As Stag becomes more and more obsessed with the stag, he becomes increasingly reliant on the stag's help to survive and escape."
Police Academy 5: Assignment: Miami Beach (1988),ml1m-images\2382.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Police Academy 5: Assignment: Miami Beach (1988) is a crime drama film about a high school chemistry teacher named John, who is assigned to investigate a murder case in Miami Beach. The film follows John's journey as he navigates the dangerous world of drug trafficking and the consequences of his actions. Along the way, John learns about the importance of community and the consequences of his actions."
"End of the Affair, The (1955)",ml1m-images\3126.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","The movie End of the Affair, The (1955) follows the story of a young woman named Emily who is a successful lawyer who is wrongfully accused of a crime she did not commit. She is convicted and sentenced to life in prison, but her innocence is revealed when she is found guilty and sentenced to life in prison. The movie explores themes of societal inequality, the power of love, and the consequences of adversity."
Another Day in Paradise (1998),ml1m-images\2440.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","The movie Another Day in Paradise (1998) tells the story of a young boy named Jack who is a successful businessman who is stranded in a remote island with no memory of his past. He is tasked with finding a way to escape and find his way back home, but his journey is complicated by the fact that he has been living in a small town for the past few years."
Midnight Dancers (Sibak) (1994),ml1m-images\794.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Midnight Dancers is a 1994 film directed by Sibak that follows the story of a young woman named Lily who is a successful dancer who falls in love with a man named Jack. However, their relationship is complicated by their past and their relationship with Jack's ex-girlfriend, who is also a dancer. The movie explores themes of love, loss, and the consequences of one's actions."
Bitter Moon (1992),ml1m-images\347.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Bitter Moon is a movie about a man named Jack who is convicted of murdering his wife and her lover. He is sentenced to life in prison and is convicted of murder. The movie explores themes of love, loss, and the consequences of a broken relationship."
Animal House (1978),ml1m-images\3421.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Animal House is a 1978 film about a young boy named Max who is raised by his father, a wealthy businessman, and his mother, a poor artist. Max is a successful businessman who is unable to afford to live in a house, and he becomes obsessed with his own life and dreams. He becomes obsessed with his own life and dreams, and he becomes obsessed with his own life. The movie explores themes of love, loss, and the power of family."
Love Is the Devil (1998),ml1m-images\2304.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Love Is the Devil is a movie about a young woman named Rose who is diagnosed with terminal cancer and is struggling to cope with her emotions. She becomes obsessed with her dreams and dreams, and eventually becomes obsessed with her own life. Rose's obsession leads her to confront her own demons and seek help from her family and friends."
Conan the Barbarian (1982),ml1m-images\1587.jpg,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Conan the Barbarian is a movie about a young boy named Conan who is a sailor and a mermaid. He is a skilled mermaid who is destined to become a king and queen of the seas. However, his father, a mermaid named Simba, is a sailor who is destined to become a king and queen of the seas. Conan must navigate through treacherous waters and battle treacherous creatures to save his kingdom and the seas. Along the way, he meets a group of mermaids who help him navigate the treacherous waters and protect his kingdom."
Dante's Peak (1997),ml1m-images\1438.jpg,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Dante's Peak is a movie about a man named Dante who is a skilled climber who is tasked with achieving a summit of Mount Dante. He is a skilled climber who is determined to climb the mountain and overcome obstacles to reach the summit. Dante's Peak is a challenging and challenging climb, but it is worth it for the stunning views and the incredible journey it takes."
American Dream (1990),ml1m-images\1169.jpg,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","American Dream (1990) is a movie about a man named Jack who dreams of becoming a successful businessman and a successful businessman. He is offered a chance to live a life of luxury and success, but his dreams are threatened by his financial struggles and his desire to be a successful businessman. Jack must navigate the challenges of his life and his personal life to achieve his dream and achieve his goals."
"Wood, The (1999)",ml1m-images\2714.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Wood is a 1999 American film about a man named Wood who is convicted of murdering his wife and her lover. He is sentenced to life in prison and eventually dies.
